,studio,year,Movie_title,tconst,runtimeMinutes,averageRating,numVotes,region,language,Release_Date,Movie_Name,Production_Budget,Gross_Domestic,Gross_Worldwide,_merge,Gross_Foreign_Only
0,,1994.0,The Shawshank Redemption,tt0111161,142,9.3,2259481.0,60.0,60.0,"Sep 23, 1994",The Shawshank Redemption,25000000.0,28241469.0,28417060.0,both,175591.0
1,,2008.0,The Dark Knight,tt0468569,152,9.0,2225006.0,59.0,59.0,"Jul 11, 2008",The Dark Knight,185000000.0,533720947.0,1000742751.0,both,467021804.0
2,WB,2010.0,Inception,tt1375666,148,8.8,1982266.0,52.0,52.0,2010-07-16,,160000000.0,292576195.0,835524642.0,left_only,535700000.0
3,,1999.0,Fight Club,tt0137523,139,8.8,1794853.0,,,"Oct 15, 1999",Fight Club,65000000.0,37030102.0,100834490.0,both,63804388.0
4,,1994.0,Pulp Fiction,tt0110912,154,8.9,1767823.0,51.0,51.0,"Sep 10, 1994",Pulp Fiction,8000000.0,107928762.0,212911910.0,both,104983148.0
5,,1994.0,Forrest Gump,tt0109830,142,8.8,1741545.0,41.0,41.0,"Jul 6, 1994",Forrest Gump,55000000.0,330151138.0,679838260.0,both,349687122.0
6,,1999.0,The Matrix,tt0133093,136,8.7,1620147.0,,,"Mar 31, 1999",The Matrix,65000000.0,173396389.0,465421959.0,both,292025570.0
7,,2001.0,The Lord of the Rings: The Fellowship of the Ring,tt0120737,178,8.8,1609496.0,,,"Dec 19, 2001",The Lord of the Rings: The Fellowship of the Ring,109000000.0,315544750.0,887210985.0,both,571666235.0
8,,2003.0,The Lord of the Rings: The Return of the King,tt0167260,201,8.9,1594183.0,54.0,54.0,"Dec 17, 2003",The Lord of the Rings: The Return of the King,94000000.0,377845905.0,1120224046.0,both,742378141.0
9,WB,2012.0,The Dark Knight Rises,tt1345836,164,8.4,1470623.0,59.0,59.0,"Jul 19, 2012",The Dark Knight Rises,230000000.0,448139099.0,1082228107.0,both,634089008.0
10,,2002.0,The Lord of the Rings: The Two Towers,tt0167261,179,8.7,1440485.0,55.0,55.0,"Dec 18, 2002",The Lord of the Rings: The Two Towers,94000000.0,342548984.0,927598249.0,both,585049265.0
11,Par.,2014.0,Interstellar,tt0816692,169,8.6,1431303.0,46.0,46.0,2014-11-05,,165000000.0,188017894.0,666379375.0,left_only,489400000.0
12,,1995.0,Se7en,tt0114369,127,8.6,1390579.0,,,"Sep 22, 1995",Se7en,30000000.0,100125643.0,328125643.0,both,228000000.0
13,Wein.,2012.0,Django Unchained,tt1853728,165,8.4,1307364.0,47.0,47.0,"Dec 25, 2012",Django Unchained,100000000.0,162805434.0,449841566.0,both,287036132.0
14,,2000.0,Gladiator,tt0172495,155,8.5,1298045.0,50.0,50.0,"May 5, 2000",Gladiator,103000000.0,187683805.0,457683805.0,both,270000000.0
15,,2005.0,Batman Begins,tt0372784,140,8.2,1269282.0,51.0,51.0,2005-06-15,,150000000.0,205343774.0,359142722.0,left_only,153798948.0
16,,2012.0,The Avengers,tt0848228,143,8.0,1236223.0,60.0,60.0,"Apr 25, 2012",The Avengers,225000000.0,623357910.0,1515100211.0,both,891742301.0
17,,2012.0,The Avengers,tt0848228,143,8.0,1236223.0,60.0,60.0,"Aug 14, 1998",The Avengers,60000000.0,23385416.0,48585416.0,both,25200000.0
18,,1998.0,The Avengers,tt0848228,143,8.0,1236223.0,60.0,60.0,"Apr 25, 2012",The Avengers,225000000.0,623357910.0,1515100211.0,both,891742301.0
19,,1998.0,The Avengers,tt0848228,143,8.0,1236223.0,60.0,60.0,"Aug 14, 1998",The Avengers,60000000.0,23385416.0,48585416.0,both,25200000.0
20,,1991.0,The Silence of the Lambs,tt0102926,118,8.6,1223775.0,60.0,60.0,"Feb 14, 1991",The Silence of the Lambs,20000000.0,130726716.0,275726716.0,both,145000000.0
21,,2009.0,Inglourious Basterds,tt0361748,153,8.3,1219714.0,50.0,50.0,"Aug 21, 2009",Inglourious Basterds,70000000.0,120774594.0,316915264.0,both,196140670.0
22,,1998.0,Saving Private Ryan,tt0120815,169,8.6,1194492.0,,,"Jul 24, 1998",Saving Private Ryan,65000000.0,216335085.0,485035085.0,both,268700000.0
23,,2006.0,The Departed,tt0407887,151,8.5,1151064.0,51.0,51.0,"Oct 6, 2006",The Departed,90000000.0,132384315.0,289660619.0,both,157276304.0
24,,2006.0,The Prestige,tt0482571,130,8.5,1144794.0,46.0,46.0,"Oct 20, 2006",The Prestige,40000000.0,53089891.0,104407366.0,both,51317475.0
25,Par.,2013.0,The Wolf of Wall Street,tt0993846,180,8.2,1128646.0,44.0,44.0,"Dec 25, 2013",The Wolf of Wall Street,100000000.0,116949183.0,389918903.0,both,272969720.0
26,,1999.0,The Green Mile,tt0120689,189,8.6,1102076.0,,,"Dec 10, 1999",The Green Mile,60000000.0,136801374.0,290701374.0,both,153900000.0
27,,2009.0,Avatar,tt0499549,162,7.8,1096295.0,50.0,50.0,"Dec 17, 2009",Avatar,237000000.0,760507625.0,2788701337.0,both,2028193712.0
28,,2001.0,Memento,tt0209144,113,8.4,1090521.0,36.0,36.0,"Mar 16, 2001",Memento,5000000.0,25544867.0,39723096.0,both,14178229.0
29,Par.,2010.0,Shutter Island,tt1130884,138,8.1,1086618.0,43.0,43.0,"Feb 19, 2010",Shutter Island,80000000.0,128012934.0,299461782.0,both,171448848.0
30,,1999.0,American Beauty,tt0169547,122,8.3,1043295.0,43.0,43.0,"Sep 15, 1999",American Beauty,15000000.0,130058047.0,356258047.0,both,226200000.0
31,BV,2014.0,Guardians of the Galaxy,tt2015381,121,8.0,1017602.0,51.0,51.0,2014-08-01,,170000000.0,333172112.0,770867516.0,left_only,440200000.0
32,,1997.0,Titanic,tt0120338,194,7.8,1017405.0,,,"Dec 18, 1997",Titanic,200000000.0,659363944.0,2208208395.0,both,1548844451.0
33,,1985.0,Back to the Future,tt0088763,116,8.5,1015506.0,60.0,60.0,"Jul 3, 1985",Back to the Future,19000000.0,212259762.0,385524118.0,both,173264356.0
