release_date,production_budget,worldwide_gross,studio,foreign_gross,year,budget_merge,domestic_gross,Movie_title,tconst,runtimeMinutes,averageRating,numVotes,region,language,_merge
1994-09-23,25000000.0,28307092.0,,65623.0,1994,left_only,28241469.0,The Shawshank Redemption,tt0111161,142,9.3,2259481.0,60.0,60.0,both
2008-07-18,185000000.0,1001996207.0,,468275260.0,2008,left_only,533720947.0,The Dark Knight,tt0468569,152,9.0,2225006.0,59.0,59.0,both
2010-07-16,160000000.0,835524642.0,WB,535700000.0,2010.0,both,292576195.0,Inception,tt1375666,148,8.8,1982266.0,52.0,52.0,both
1999-10-15,65000000.0,100851705.0,,63821603.0,1999,left_only,37030102.0,Fight Club,tt0137523,139,8.8,1794853.0,,,both
1994-10-14,8000000.0,212928762.0,,105000000.0,1994,left_only,107928762.0,Pulp Fiction,tt0110912,154,8.9,1767823.0,51.0,51.0,both
1994-07-06,55000000.0,679850637.0,,349699499.0,1994,left_only,330151138.0,Forrest Gump,tt0109830,142,8.8,1741545.0,41.0,41.0,both
1999-03-31,65000000.0,463517383.0,,292037453.0,1999,left_only,171479930.0,The Matrix,tt0133093,136,8.7,1620147.0,,,both
2001-12-19,109000000.0,887210985.0,,571666235.0,2001,left_only,315544750.0,The Lord of the Rings: The Fellowship of the Ring,tt0120737,178,8.8,1609496.0,,,both
2003-12-17,94000000.0,1141403341.0,,763557436.0,2003,left_only,377845905.0,The Lord of the Rings: The Return of the King,tt0167260,201,8.9,1594183.0,54.0,54.0,both
2012-07-20,275000000.0,1084439099.0,WB,636800000.0,2012.0,both,448139099.0,The Dark Knight Rises,tt1345836,164,8.4,1470623.0,59.0,59.0,both
2002-12-18,94000000.0,934699645.0,,592150661.0,2002,left_only,342548984.0,The Lord of the Rings: The Two Towers,tt0167261,179,8.7,1440485.0,55.0,55.0,both
2014-11-05,165000000.0,666379375.0,Par.,489400000.0,2014.0,both,188017894.0,Interstellar,tt0816692,169,8.6,1431303.0,46.0,46.0,both
1995-09-22,30000000.0,328125643.0,,228000000.0,1995,left_only,100125643.0,Se7en,tt0114369,127,8.6,1390579.0,,,both
2012-12-25,100000000.0,449948323.0,Wein.,262600000.0,2012.0,both,162805434.0,Django Unchained,tt1853728,165,8.4,1307364.0,47.0,47.0,both
2000-05-05,103000000.0,457683805.0,,270000000.0,2000,left_only,187683805.0,Gladiator,tt0172495,155,8.5,1298045.0,50.0,50.0,both
2005-06-15,150000000.0,359142722.0,,153798948.0,2005,left_only,205343774.0,Batman Begins,tt0372784,140,8.2,1269282.0,51.0,51.0,both
2012-05-04,225000000.0,1517935897.0,,894656350.0,2012,left_only,623279547.0,The Avengers,tt0848228,143,8.0,1236223.0,60.0,60.0,both
1998-08-14,60000000.0,48585416.0,,25200000.0,1998,left_only,23385416.0,The Avengers,tt0848228,143,8.0,1236223.0,60.0,60.0,both
1991-02-14,20000000.0,275726716.0,,145000000.0,1991,left_only,130726716.0,The Silence of the Lambs,tt0102926,118,8.6,1223775.0,60.0,60.0,both
2009-08-21,70000000.0,316915264.0,,196140670.0,2009,left_only,120774594.0,Inglourious Basterds,tt0361748,153,8.3,1219714.0,50.0,50.0,both
1998-07-24,65000000.0,485035085.0,,268700000.0,1998,left_only,216335085.0,Saving Private Ryan,tt0120815,169,8.6,1194492.0,,,both
2006-10-06,90000000.0,289660619.0,,157276304.0,2006,left_only,132384315.0,The Departed,tt0407887,151,8.5,1151064.0,51.0,51.0,both
2006-10-20,40000000.0,104407366.0,,51317475.0,2006,left_only,53089891.0,The Prestige,tt0482571,130,8.5,1144794.0,46.0,46.0,both
2013-12-25,100000000.0,389870414.0,Par.,275100000.0,2013.0,both,116900694.0,The Wolf of Wall Street,tt0993846,180,8.2,1128646.0,44.0,44.0,both
1999-12-10,60000000.0,290701374.0,,153900000.0,1999,left_only,136801374.0,The Green Mile,tt0120689,189,8.6,1102076.0,,,both
2009-12-18,425000000.0,2776345279.0,,2015837654.0,2009,left_only,760507625.0,Avatar,tt0499549,162,7.8,1096295.0,50.0,50.0,both
2001-03-16,5000000.0,39723096.0,,14178229.0,2001,left_only,25544867.0,Memento,tt0209144,113,8.4,1090521.0,36.0,36.0,both
