release_date,movie,production_budget,worldwide_gross,title,studio,foreign_gross,year,_merge,domestic_gross,Movie_title
2009-12-18,Avatar,425000000.0,2776345279.0,,,2015837654.0,2009,left_only,760507625.0,Avatar
2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,1045663875.0,Pirates of the Caribbean: On Stranger Tides,BV,804600000.0,2011.0,both,241063875.0,Pirates of the Caribbean: On Stranger Tides
2019-06-07,Dark Phoenix,350000000.0,149762350.0,,,107000000.0,2019,left_only,42762350.0,Dark Phoenix
2015-05-01,Avengers: Age of Ultron,330600000.0,1403013963.0,Avengers: Age of Ultron,BV,946400000.0,2015.0,both,459005868.0,Avengers: Age of Ultron
2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000.0,1316721747.0,,,696540365.0,2017,left_only,620181382.0,Star Wars Ep. VIII: The Last Jedi
2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000.0,2053311220.0,,,1116648995.0,2015,left_only,936662225.0,Star Wars Ep. VII: The Force Awakens
2018-04-27,Avengers: Infinity War,300000000.0,2048134200.0,Avengers: Infinity War,BV,1369.5,2018.0,both,678815482.0,Avengers: Infinity War
2007-05-24,Pirates of the Caribbean: At Worldâs End,300000000.0,963420425.0,,,654000000.0,2007,left_only,309420425.0,Pirates of the Caribbean: At Worldâs End
2017-11-17,Justice League,300000000.0,655945209.0,Justice League,WB,428900000.0,2017.0,both,229024295.0,Justice League
2015-11-06,Spectre,300000000.0,879620923.0,Spectre,Sony,680600000.0,2015.0,both,200074175.0,Spectre
2012-07-20,The Dark Knight Rises,275000000.0,1084439099.0,The Dark Knight Rises,WB,636800000.0,2012.0,both,448139099.0,The Dark Knight Rises
2018-05-25,Solo: A Star Wars Story,275000000.0,393151347.0,Solo: A Star Wars Story,BV,179200000.0,2018.0,both,213767512.0,Solo: A Star Wars Story
2013-07-02,The Lone Ranger,275000000.0,260002115.0,The Lone Ranger,BV,171200000.0,2013.0,both,89302115.0,The Lone Ranger
2012-03-09,John Carter,275000000.0,282778100.0,John Carter,BV,211100000.0,2012.0,both,73058679.0,John Carter
2010-11-24,Tangled,260000000.0,586477240.0,Tangled,BV,391000000.0,2010.0,both,200821936.0,Tangled
2007-05-04,Spider-Man 3,258000000.0,894860230.0,,,558329927.0,2007,left_only,336530303.0,Spider-Man 3
2016-05-06,Captain America: Civil War,250000000.0,1140069413.0,Captain America: Civil War,BV,745200000.0,2016.0,both,408084349.0,Captain America: Civil War
2016-03-25,Batman v Superman: Dawn of Justice,250000000.0,867500281.0,Batman v Superman: Dawn of Justice,WB,543300000.0,2016.0,both,330360194.0,Batman v Superman: Dawn of Justice
